holiday,date
New year,2023-01-01
Good friday,2023-04-07
Easter Monday,2023-04-10
Labor day,2023-05-01
Victory day,2023-05-08
Ascension day,2023-05-18
White Sunday,2023-05-28
White Monday,2023-05-29
Bastille day,2023-07-14
Assomption,2023-08-15
All saints day,2023-11-1
Armistice day,2023-11-11
Christmas,2023-12-25
second christmas day,2023-12-26
New year,2024-01-01
Good friday,2024-03-29
Easter Monday,2024-04-01
Labor day,2024-05-01
Victory day,2024-05-08
Ascension day,2024-05-09
White Sunday,2024-05-19
White Monday,2024-05-20
Bastille day,2024-07-14
Assomption,2024-08-15
All saints day,2024-11-1
Armistice day,2024-11-11
Christmas,2024-12-25
second christmas day,2024-12-26
